Title,MFCC1,MFCC2,MFCC3,MFCC4,MFCC5,MFCC6,MFCC7,MFCC8,MFCC9,MFCC10,MFCC11,MFCC12,MFCC13,MFCC14,MFCC15,MFCC16,MFCC17,MFCC18,MFCC19,MFCC20
Come Through (feat. Ari G),-8.764815330505371,86.67707824707031,3.025292158126831,17.16531753540039,7.615000247955322,4.980640888214111,-10.2999849319458,0.407303124666214,-7.703202247619629,2.4885480403900146,1.0212122201919556,3.0363805294036865,-0.952633798122406,2.0597567558288574,-1.0073450803756714,2.933957576751709,-5.561598300933838,-0.010364551097154617,-0.6501182913780212,0.2741822600364685
Crazy,-88.65776824951172,88.28316497802734,16.075916290283203,14.152203559875488,9.149185180664062,6.896006107330322,-1.0131951570510864,8.393036842346191,-8.5220308303833,10.401599884033203,-4.813974380493164,1.385891318321228,-3.7099905014038086,-1.3076175451278687,-3.316288709640503,0.5544689893722534,-7.058976650238037,0.7034639716148376,-3.3147854804992676,-0.5377410650253296
Desperate,-35.896644592285156,82.26073455810547,15.510848045349121,16.866928100585938,11.253877639770508,7.165308952331543,4.7813262939453125,9.766480445861816,-3.640840768814087,10.267998695373535,2.8926596641540527,5.856130123138428,0.14814390242099762,3.3177425861358643,-4.577230453491211,1.3741936683654785,-1.8121485710144043,3.240041732788086,-4.114839553833008,0.4317559003829956
diversion,-50.20500183105469,85.5616455078125,-7.625919342041016,16.510108947753906,0.008069053292274475,3.4096271991729736,-4.906805992126465,4.2541117668151855,-4.060461521148682,3.6196935176849365,-0.8876264095306396,6.718991756439209,-1.901629090309143,-0.14107994735240936,-3.4080443382263184,5.482039451599121,-5.396091938018799,4.838263034820557,-2.380186080932617,2.037545680999756
Don't Be A Stranger,-44.85742950439453,86.63538360595703,13.9240140914917,8.56135082244873,7.881826877593994,10.176522254943848,1.8702954053878784,2.7962331771850586,-3.2418394088745117,4.334352016448975,-0.49587541818618774,4.331785202026367,-0.6596993803977966,2.6993870735168457,-3.1447811126708984,-2.102860450744629,-5.531945705413818,0.47204071283340454,-3.915130853652954,2.0455000400543213
Faceless,-106.84089660644531,79.07203674316406,-4.895772457122803,10.809530258178711,-1.0566596984863281,4.7288947105407715,-1.270047664642334,4.234749794006348,-0.6871429085731506,2.5877466201782227,-0.6885709762573242,1.2841752767562866,-0.967063844203949,1.6327558755874634,-3.1828036308288574,0.43467965722084045,-2.71118426322937,2.4297752380371094,-1.2649341821670532,1.6518360376358032
Haunted House,-78.87895965576172,86.834716796875,15.960613250732422,8.397811889648438,5.472116470336914,12.955626487731934,5.186460494995117,2.8742997646331787,-0.6162232756614685,10.065855979919434,-1.0421968698501587,7.750321388244629,1.5768699645996094,8.473715782165527,1.7041480541229248,4.290703773498535,-0.14666643738746643,1.0925167798995972,-2.879450798034668,3.228330135345459
Illusion (feat. Crunr),-33.882022857666016,68.79055786132812,10.77149486541748,18.057451248168945,2.1053459644317627,3.034656524658203,3.564387083053589,2.82917857170105,-1.9572052955627441,13.857744216918945,-4.814481258392334,-2.2044758796691895,-5.87083101272583,4.727683067321777,0.5594111084938049,3.9263975620269775,-0.32039549946784973,3.1176018714904785,-1.8248549699783325,0.6403889656066895
Let You Go,-64.08223724365234,81.51393127441406,-5.553144454956055,16.347461700439453,-1.572689414024353,4.010942459106445,-5.845027923583984,12.755834579467773,-0.08570713549852371,2.070329189300537,2.138206720352173,1.707424521446228,-3.599492073059082,-0.709640622138977,-3.297807216644287,2.694326400756836,-4.968177318572998,-0.8721797466278076,-5.2822585105896,-2.5803518295288086
LONG NIGHT,-74.64625549316406,76.54378509521484,9.193408012390137,18.008041381835938,7.863552093505859,5.740415096282959,-8.288652420043945,3.8228204250335693,-2.9111499786376953,3.3556954860687256,-4.675102710723877,0.2849523425102234,-4.863073825836182,1.4981966018676758,-1.8977162837982178,5.695329666137695,-2.2448439598083496,5.458429336547852,-2.8427090644836426,-1.0694537162780762
Maria (ft. Blooom & Ghost'n'Ghost),-65.09268188476562,65.24027252197266,-10.236639976501465,9.94763469696045,0.6903886795043945,1.2742007970809937,-10.05874252319336,-2.751114845275879,-4.985067367553711,0.13309979438781738,-2.506852388381958,-6.764886379241943,-4.9401116371154785,-1.5458309650421143,-0.791366696357727,0.7159936428070068,-2.328432321548462,1.4284493923187256,-0.2543063461780548,-0.12229020893573761
Omen,-22.179513931274414,87.22630310058594,-5.513434410095215,16.44803237915039,3.647679090499878,5.3224639892578125,-2.827589750289917,-0.7781782150268555,-5.3204827308654785,-0.9392843842506409,-2.9158060550689697,3.211723566055298,-0.14331208169460297,4.255223274230957,-1.3206413984298706,0.0029556096997112036,-1.7599327564239502,-0.4734615385532379,-3.433861017227173,2.393648862838745
On & On (feat. Daniel Levi),-57.45729446411133,102.93632507324219,2.917644500732422,4.617302417755127,9.159147262573242,5.418974876403809,3.331761360168457,0.2552015781402588,-4.690398693084717,5.145595550537109,0.14525002241134644,-0.8447826504707336,0.00905865803360939,6.19752836227417,0.06112255901098251,1.9872909784317017,-6.2388410568237305,-1.015419602394104,-6.703296184539795,-2.2359824180603027
Push The Gas,-108.63456726074219,99.5605697631836,19.068206787109375,21.465288162231445,8.737833976745605,12.612239837646484,1.7439539432525635,7.821969985961914,2.3083667755126953,6.7834320068359375,-3.082383155822754,4.9853105545043945,-2.610319137573242,3.167249917984009,1.2025398015975952,4.782872676849365,-0.35002297163009644,5.457457065582275,-0.29878172278404236,2.456822395324707
Ruined My Life,-84.5680160522461,80.27893829345703,5.234760284423828,6.415212631225586,0.6458985209465027,12.617515563964844,0.6243159770965576,13.62771987915039,-4.557923316955566,3.998981475830078,2.4383625984191895,-0.9600090980529785,1.3391228914260864,3.917403221130371,2.275834083557129,2.630650281906128,-2.7056195735931396,7.234363555908203,1.3803114891052246,1.464048981666565
Run & Hide,-87.96826934814453,91.91233825683594,7.2056193351745605,-0.09581933170557022,2.0816781520843506,1.6622021198272705,-3.2904884815216064,3.417262554168701,-8.216109275817871,3.676708698272705,-1.204637885093689,2.429905891418457,-4.296244144439697,2.049639940261841,0.062458377331495285,-0.3599371910095215,-2.419529438018799,6.921436786651611,-0.5600758790969849,6.6069769859313965
SKY BRI,-26.960205078125,59.73039627075195,-19.31927490234375,1.2176220417022705,-1.6598783731460571,-2.903543472290039,-10.763252258300781,6.7206573486328125,-0.8392726182937622,-1.0934841632843018,-6.007434368133545,0.49507227540016174,-2.8360657691955566,-4.610063076019287,-6.3920369148254395,0.037957724183797836,-3.689149856567383,-0.20114094018936157,-2.4221031665802,1.1363316774368286
Sleeping Till Noon,-53.46839904785156,65.82958221435547,11.878608703613281,14.980639457702637,-0.2658259868621826,7.904032230377197,-1.6543893814086914,3.010794162750244,-1.3600716590881348,0.7475261092185974,-2.817265033721924,0.26183170080184937,-3.806044578552246,0.39747193455696106,-5.760501861572266,-1.5353716611862183,-4.349803447723389,-0.8443498611450195,-3.1598222255706787,2.7003955841064453
Somebody Like Me (feat. Halvorsen),-52.60380554199219,71.6661376953125,-5.322530746459961,9.593077659606934,2.8062798976898193,-2.314610242843628,-6.077126979827881,2.541409492492676,-4.70006799697876,-0.027659974992275238,-2.7965896129608154,1.7321369647979736,-0.27412599325180054,1.5671935081481934,-3.137453317642212,-1.5576717853546143,-6.572754383087158,2.04506254196167,-1.367368221282959,1.9162849187850952
Spotlight (feat. AWA),-75.57530975341797,75.90206146240234,0.7241803407669067,7.113521575927734,-3.816441774368286,2.996164083480835,0.8076065182685852,-0.017693717032670975,-0.5268517136573792,4.234996795654297,-6.953812122344971,0.6140745282173157,-6.4291486740112305,2.447375774383545,-2.5293846130371094,0.2464302033185959,1.0354307889938354,3.187960624694824,-1.4456967115402222,5.952186584472656
